name,categoryName,website,phone,address,Suburb,state,countryCode,postalCode,location/lat,location/lng,rank,totalScore,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,cid,isAdvertisement,locatedIn,menu,neighborhood,permanentlyClosed,placeId,plusCode,price,scrapedAt,searchPageUrl,searchString,street,subTitle,temporarilyClosed,url
Crown Towers Melbourne,Hotel,https://www.crownhotels.com.au/crown-towers-melbourne,+61 3 9292 8888,"8 Whiteman St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8223795,144.9600171,103,4.4,6805,4258,1809,182,458,98,Hotel,,,,,,,,,4.28E+18,FALSE,Floor G · Crown Melbourne,,8 Whiteman St,FALSE,ChIJiUWj1VJd1moRnauuyUO9XDs,"5XH6+22 Southbank, Victoria, Australia",$$$$,8/10/2022 2:00,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,8 Whiteman St,,FALSE,"https://www.google.com/maps/place/Crown+Towers+Melbourne/@-37.8223795,144.9600171,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d52d5a34589:0x3b5cbd43c9aeab9d!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8223795!4d144.9600171?hl=en"
Grand Hyatt Melbourne,Hotel,https://www.hyatt.com/en-US/hotel/australia/grand-hyatt-melbourne/melbo?src=corp_lclb_gmb_seo_melbo,+61 3 9657 1234,"123 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8152075,144.9698275,60,4.5,3813,2482,915,120,229,67,Hotel,,,,,,,,,6.02E+18,FALSE,,,123 Collins St,FALSE,ChIJYSmyK8hC1moReCu7N75RjlM,"5XM9+WW Melbourne, Victoria, Australia",$$$$,8/10/2022 2:47,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,123 Collins St,,FALSE,"https://www.google.com/maps/place/Grand+Hyatt+Melbourne/@-37.8152075,144.9698275,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642c82bb22961:0x538e51be37bb2b78!5m2!4m1!1i2!8m2!3d-37.8152075!4d144.9698275?hl=en"
Sofitel Melbourne on Collins,Hotel,https://all.accor.com/hotel/1902/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTkxNjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9653 0000,"25 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8139965,144.9728921,21,4.5,3196,2099,814,51,180,52,Hotel,,,,,,,,,1.60E+19,FALSE,Collins Place,,25 Collins St,FALSE,ChIJAwLSzMdC1moRLo-qConKZd4,"5XPF+C5 Melbourne, Victoria, Australia",$$$,8/10/2022 3:02,"https://www.google.com/maps/search/hotels+near+East+Melbourne+VIC/@-37.8108637,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,25 Collins St,,FALSE,"https://www.google.com/maps/place/Sofitel+Melbourne+on+Collins/@-37.8139965,144.9728921,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642c7ccd20203:0xde65ca890aaa8f2e!5m2!4m1!1i2!8m2!3d-37.8139965!4d144.9728921?hl=en"
Crown Metropol Melbourne,Hotel,https://www.crownhotels.com.au/crown-metropol-melbourne,+61 3 9292 6211,"8 Whiteman St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.825839,144.9576637,96,4.3,2297,1400,579,110,145,63,Hotel,,,,,,,,,2.93E+18,FALSE,Floor G · Crown Melbourne,,8 Whiteman St,FALSE,ChIJs-Q2IlNd1moRGz76n97nmCg,"5XF5+M3 Southbank, Victoria, Australia",,8/10/2022 2:01,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,8 Whiteman St,,FALSE,"https://www.google.com/maps/place/Crown+Metropol+Melbourne/@-37.825839,144.9576637,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d532236e4b3:0x2898e7de9ffa3e1b!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.825839!4d144.9576637?hl=en"
The Victoria Hotel,Hotel,https://www.independentcollection.com.au/accommodation/melbourne-vic/the-victoria-hotel/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 3 9669 0000,"215 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8142903,144.9671311,55,4.1,2109,866,795,67,309,72,Hotel,,,,,,,,,8.22E+18,FALSE,,,215 Little Collins St,FALSE,ChIJ62M5mrRC1moR6NLAe6ezBHI,"5XP8+7V Melbourne, Victoria, Australia",,8/10/2022 2:47,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,215 Little Collins St,,FALSE,"https://www.google.com/maps/place/The+Victoria+Hotel/@-37.8142903,144.9671311,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642b49a3963eb:0x7204b3a77bc0d2e8!5m2!4m1!1i2!8m2!3d-37.8142903!4d144.9671311?hl=en"
Pullman Melbourne On the Park,Hotel,https://all.accor.com/hotel/9875/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTkyMjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9419 2000,"192 Wellington Parade, East Melbourne VIC 3002, Australia",East Melbourne,Victoria,AU,3002,-37.8157469,144.9832559,71,4.1,2056,944,692,71,236,113,Hotel,,,,,,,,,1.42E+19,FALSE,,,192 Wellington Parade,FALSE,ChIJnUqrC-pC1moR1m8YHIWduMQ,"5XMM+P8 East Melbourne, Victoria, Australia",$,8/10/2022 2:45,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,192 Wellington Parade,,FALSE,"https://www.google.com/maps/place/Pullman+Melbourne+On+the+Park/@-37.8157469,144.9832559,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642ea0bab4a9d:0xc4b89d851c186fd6!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8157469!4d144.9832559?hl=en"
Park Hyatt Melbourne,Hotel,https://www.hyatt.com/en-US/hotel/australia/park-hyatt-melbourne/melph?src=corp_lclb_gmb_seo_melph,+61 3 9224 1234,"1 Parliament Square, Melbourne VIC 3002, Australia",Melbourne,Victoria,AU,3002,-37.811422,144.9763604,10,4.6,1982,1423,400,32,102,25,Hotel,,,,,,,,,9.18E+18,FALSE,,,1 Parliament Square,FALSE,ChIJN92GPsRC1moRORPubhGOXn8,"5XQG+CG Melbourne, Victoria, Australia",$$,8/10/2022 3:03,"https://www.google.com/maps/search/hotels+near+East+Melbourne+VIC/@-37.8108637,144.9612234,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,1 Parliament Square,,FALSE,"https://www.google.com/maps/place/Park+Hyatt+Melbourne/@-37.811422,144.9763604,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642c43e86dd37:0x7f5e8e116eee1339!5m2!4m1!1i2!8m2!3d-37.811422!4d144.9763604?hl=en"
"The Langham, Melbourne",Hotel,http://www.langhamhotels.com/en/the-langham/melbourne/?htl=tlmel&src=organic&eng=google&size=na&cid=yext_profile&y_source=1_MTAwNjI1OTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 8696 8888,"1 Southgate Ave, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8206734,144.9656738,11,4.4,1979,1304,435,70,125,45,Hotel,,,,,,,,,4.39E+18,FALSE,Southgate,,1 Southgate Ave,FALSE,ChIJQ8ty17NC1moRVPjumQ0x3zw,"5XH8+P7 Southbank, Victoria, Australia",$$$,8/10/2022 2:51,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,1 Southgate Ave,,FALSE,"https://www.google.com/maps/place/The+Langham,+Melbourne/@-37.8206734,144.9656738,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642b3d772cb43:0x3cdf310d99eef854!5m2!4m1!1i2!8m2!3d-37.8206734!4d144.9656738?hl=en"
The Hotel Windsor,Hotel,http://www.thehotelwindsor.com.au/,+61 3 9633 6000,"111 Spring St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.812125,144.9729651,77,4.3,1839,1092,448,82,173,44,Hotel,,,,,,,,,1.20E+19,FALSE,,,111 Spring St,FALSE,ChIJc2kjEsZC1moRq3kZOyErJqY,"5XQF+45 Melbourne, Victoria, Australia",$$,8/10/2022 2:46,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,111 Spring St,,FALSE,"https://www.google.com/maps/place/The+Hotel+Windsor/@-37.812125,144.9729651,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642c612236973:0xa6262b213b1979ab!5m2!4m1!1i2!8m2!3d-37.812125!4d144.9729651?hl=en"
Crown Promenade Melbourne,Hotel,https://www.crownhotels.com.au/crown-promenade-melbourne,+61 3 9292 8888,"8 Whiteman St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8238395,144.9599367,99,4.4,1829,1082,557,55,100,35,Hotel,,,,,,,,,1.48E+18,FALSE,Floor G · Crown Melbourne,,8 Whiteman St,FALSE,ChIJs-Q2IlNd1moRB8j2FaFBgBQ,"5XG5+FX Southbank, Victoria, Australia",,8/10/2022 2:00,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,8 Whiteman St,,FALSE,"https://www.google.com/maps/place/Crown+Promenade+Melbourne/@-37.8238395,144.9599367,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d532236e4b3:0x148041a115f6c807!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8238395!4d144.9599367?hl=en"
