name,categoryName,website,phone,address,Suburb,state,countryCode,postalCode,location/lat,location/lng,totalScore,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar
Crown Towers Melbourne,Hotel,https://www.crownhotels.com.au/crown-towers-melbourne,+61 3 9292 8888,"8 Whiteman St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8223795,144.9600171,4.4,6805,4258,1809,182,458,98
Grand Hyatt Melbourne,Hotel,https://www.hyatt.com/en-US/hotel/australia/grand-hyatt-melbourne/melbo?src=corp_lclb_gmb_seo_melbo,+61 3 9657 1234,"123 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8152075,144.9698275,4.5,3813,2482,915,120,229,67
Sofitel Melbourne on Collins,Hotel,https://all.accor.com/hotel/1902/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTkxNjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9653 0000,"25 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8139965,144.9728921,4.5,3196,2099,814,51,180,52
Crown Metropol Melbourne,Hotel,https://www.crownhotels.com.au/crown-metropol-melbourne,+61 3 9292 6211,"8 Whiteman St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.825839,144.9576637,4.3,2297,1400,579,110,145,63
The Victoria Hotel,Hotel,https://www.independentcollection.com.au/accommodation/melbourne-vic/the-victoria-hotel/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 3 9669 0000,"215 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8142903,144.9671311,4.1,2109,866,795,67,309,72
Pullman Melbourne On the Park,Hotel,https://all.accor.com/hotel/9875/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTkyMjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9419 2000,"192 Wellington Parade, East Melbourne VIC 3002, Australia",East Melbourne,Victoria,AU,3002,-37.8157469,144.9832559,4.1,2056,944,692,71,236,113
Park Hyatt Melbourne,Hotel,https://www.hyatt.com/en-US/hotel/australia/park-hyatt-melbourne/melph?src=corp_lclb_gmb_seo_melph,+61 3 9224 1234,"1 Parliament Square, Melbourne VIC 3002, Australia",Melbourne,Victoria,AU,3002,-37.811422,144.9763604,4.6,1982,1423,400,32,102,25
"The Langham, Melbourne",Hotel,http://www.langhamhotels.com/en/the-langham/melbourne/?htl=tlmel&src=organic&eng=google&size=na&cid=yext_profile&y_source=1_MTAwNjI1OTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 8696 8888,"1 Southgate Ave, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8206734,144.9656738,4.4,1979,1304,435,70,125,45
The Hotel Windsor,Hotel,http://www.thehotelwindsor.com.au/,+61 3 9633 6000,"111 Spring St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.812125,144.9729651,4.3,1839,1092,448,82,173,44
Crown Promenade Melbourne,Hotel,https://www.crownhotels.com.au/crown-promenade-melbourne,+61 3 9292 8888,"8 Whiteman St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8238395,144.9599367,4.4,1829,1082,557,55,100,35
Novotel Melbourne on Collins,Hotel,https://all.accor.com/hotel/1587/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTgzNDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9667 5800,"270 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8157663,144.9648408,4.2,1806,866,618,66,182,74
Atlantis Hotel,Hotel,http://www.atlantishotel.com.au/,+61 3 9600 2900,"300 Spencer St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8136041,144.9518625,4,1774,673,669,109,235,88
"Crowne Plaza Melbourne, an IHG Hotel",Hotel,https://www.ihg.com/crowneplaza/hotels/us/en/melbourne/melfs/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-AU-_-MELFS,+61 3 9648 2777,"1/5 Spencer St, Melbourne VIC 3008, Australia",Melbourne,Victoria,AU,3008,-37.8228021,144.954803,4.2,1706,835,528,88,201,54
Travelodge Hotel Melbourne Docklands,Hotel,https://www.travelodge.com.au/book-accommodation/melbourne/hotel-melbourne-docklands/?&utm_source=googleplaces&utm_medium=organic&utm_campaign=&utm_content=travelodge-melbourne-docklands,+61 3 8615 1000,"66 Aurora Ln, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8189969,144.9503634,4,1680,625,647,75,259,74
Rendezvous Hotel Melbourne,Hotel,https://rendezvousmelbourne.com.au/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=rendezvous-melbourne,+61 3 9250 1888,"328 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8183324,144.9635426,4,1677,683,596,70,262,66
ibis Melbourne Hotel & Apartments,Hotel,https://all.accor.com/hotel/1564/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTg0NTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9666 0000,"15-21 Therry St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8069565,144.9613627,4.1,1400,559,529,55,219,38
"InterContinental Melbourne, an IHG Hotel",Hotel,https://www.ihg.com/intercontinental/hotels/us/en//melbourne/melha/hoteldetail,+61 3 8627 1400,"495 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8181299,144.9579617,4.4,1356,818,399,36,78,25
