name,categoryName,website,phone,address,Suburb,state,countryCode,postalCode,location/lat,location/lng,rank,totalScore,Total number of review,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,cid,isAdvertisement,locatedIn,menu,neighborhood,permanentlyClosed,placeId,plusCode,price,scrapedAt,searchPageUrl,searchString,street,subTitle,temporarilyClosed,url
Zagame's House,Hotel,https://www.zagameshouse.com.au/,+61 3 9084 7777,"66 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8050872,144.9664756,107,4.5,256,128,100,12,5,7,4,Hotel,,,,,,,,,7.52E+18,FALSE,,,66 Lygon St,FALSE,ChIJu9Xu0R5D1moRQUiTRWQYa2g,"5XV8+XH Carlton, Victoria, Australia",,8/10/2022 1:59,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,66 Lygon St,,FALSE,"https://www.google.com/maps/place/Zagame's+House/@-37.8050872,144.9664756,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad6431ed1eed5bb:0x686b186445934841!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8051022!4d144.9663518?hl=en"
Essence Hotel Carlton,Hotel,https://www.essencehotels.com.au/carlton/,+61 3 8346 5600,"609 Swanston St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.804126,144.9630119,90,3.8,1444,722,214,265,37,173,33,Hotel,,,,,,,,,1.34E+19,FALSE,,,609 Swanston St,FALSE,ChIJXxOUbs1C1moRHKE7XIuPbbk,"5XW7+86 Carlton, Victoria, Australia",,8/10/2022 2:01,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,609 Swanston St,,FALSE,"https://www.google.com/maps/place/Essence+Hotel+Carlton/@-37.804126,144.9630119,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642cd6e94135f:0xb96d8f8b5c3ba11c!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.804126!4d144.9630119?hl=en"
Arrow On Swanston,Hotel,http://www.arrowonswanston.com.au/,+61 3 9225 9000,"488 Swanston St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8057571,144.963421,54,3,1014,507,133,99,173,65,37,Hotel,Apartment building,Extended stay hotel,Self-catering accommodation,Serviced accommodation,Student housing center,,,,5.39E+18,FALSE,,,488 Swanston St,FALSE,ChIJCU5AHc1C1moRxyhG2RMnvUo,"5XV7+M9 Carlton, Victoria, Australia",,8/10/2022 2:06,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,488 Swanston St,,FALSE,"https://www.google.com/maps/place/Arrow+On+Swanston/@-37.8057571,144.963421,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642cd1d404e09:0x4abd2713d94628c7!5m2!4m1!1i2!8m2!3d-37.8057571!4d144.963421?hl=en"
Clocktower Apartment Hotel,Serviced accommodation,http://www.clocktower.com.au/,+61 3 9349 9700,"Shop 27/255 Drummond St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8000686,144.968366,10,3.9,168,84,35,22,7,16,4,Serviced accommodation,,,,,,,,,1.66E+19,FALSE,,,Shop 27/255 Drummond St,FALSE,ChIJD9ZRttZC1moRUpHq1-eODOY,"5XX9+X8 Carlton, Victoria, Australia",,8/10/2022 2:52,"https://www.google.com/maps/search/hotels+near+Carlton+VIC/@-37.8032476,144.9500519,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,Shop 27/255 Drummond St,,FALSE,"https://www.google.com/maps/place/Clocktower+Apartment+Hotel/@-37.8000686,144.968366,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642d6b651d60f:0xe60c8ee7d7ea9152!5m2!4m1!1i2!8m2!3d-37.8000686!4d144.968366?hl=en"
Zagame's House,Hotel,https://www.zagameshouse.com.au/,+61 3 9084 7777,"66 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8050872,144.9664756,6,4.5,256,128,100,12,5,7,4,Hotel,,,,,,,,,7.52E+18,FALSE,,,66 Lygon St,FALSE,ChIJu9Xu0R5D1moRQUiTRWQYa2g,"5XV8+XH Carlton, Victoria, Australia",,8/10/2022 2:53,"https://www.google.com/maps/search/hotels+near+Carlton+VIC/@-37.8032476,144.9500519,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,66 Lygon St,,FALSE,"https://www.google.com/maps/place/Zagame's+House/@-37.8050872,144.9664756,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad6431ed1eed5bb:0x686b186445934841!5m2!4m1!1i2!8m2!3d-37.8051022!4d144.9663518?hl=en"
Arrow On Swanston,Hotel,http://www.arrowonswanston.com.au/,+61 3 9225 9000,"488 Swanston St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8057571,144.963421,5,3,1014,507,133,99,173,65,37,Hotel,Apartment building,Extended stay hotel,Self-catering accommodation,Serviced accommodation,Student housing center,,,,5.39E+18,FALSE,,,488 Swanston St,FALSE,ChIJCU5AHc1C1moRxyhG2RMnvUo,"5XV7+M9 Carlton, Victoria, Australia",,8/10/2022 2:53,"https://www.google.com/maps/search/hotels+near+Carlton+VIC/@-37.8032476,144.9500519,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,488 Swanston St,,FALSE,"https://www.google.com/maps/place/Arrow+On+Swanston/@-37.8057571,144.963421,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642cd1d404e09:0x4abd2713d94628c7!5m2!4m1!1i2!8m2!3d-37.8057571!4d144.963421?hl=en"
Melbourne Carlton Central Apartment Hotel,Hotel,http://www.carltoncentral.com.au/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,+61 3 8341 4777,"2-9 Finlay Pl, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8038019,144.9669402,4,3.9,358,179,69,64,16,21,9,Hotel,Apartment building,Condominium complex,Extended stay hotel,Group accommodation,Holiday accommodation service,Holiday apartment rental,Self-catering accommodation,Serviced accommodation,1.49E+19,FALSE,,,2-9 Finlay Pl,FALSE,ChIJx0RM99FC1moRRsuHZJ4Mws4,"5XW8+FQ Carlton, Victoria, Australia",,8/10/2022 2:53,"https://www.google.com/maps/search/hotels+near+Carlton+VIC/@-37.8032476,144.9500519,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,2-9 Finlay Pl,,FALSE,"https://www.google.com/maps/place/Melbourne+Carlton+Central+Apartment+Hotel/@-37.8038019,144.9669402,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642d1f74c44c7:0xcec20c9e6487cb46!5m2!4m1!1i2!8m2!3d-37.803804!4d144.9669618?hl=en"
Carlton Lygon Lodge,Hotel,http://www.lygonlodge.com.au/,+61 468 890 055,"1/220 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.801868,144.967,3,4.1,300,150,79,39,10,17,5,Hotel,,,,,,,,,1.23E+19,FALSE,,,1/220 Lygon St,FALSE,ChIJgW3YfdFC1moRzimqkJdrI6s,"5XX8+7Q Carlton, Victoria, Australia",,8/10/2022 2:53,"https://www.google.com/maps/search/hotels+near+Carlton+VIC/@-37.8032476,144.9500519,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,1/220 Lygon St,,FALSE,"https://www.google.com/maps/place/Carlton+Lygon+Lodge/@-37.801868,144.967,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642d17dd86d81:0xab236b9790aa29ce!5m2!4m1!1i2!8m2!3d-37.801868!4d144.967?hl=en"
Essence Hotel Carlton,Hotel,https://www.essencehotels.com.au/carlton/,+61 3 8346 5600,"609 Swanston St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.804126,144.9630119,2,3.8,1444,722,214,265,37,173,33,Hotel,,,,,,,,,1.34E+19,FALSE,,,609 Swanston St,FALSE,ChIJXxOUbs1C1moRHKE7XIuPbbk,"5XW7+86 Carlton, Victoria, Australia",,8/10/2022 2:53,"https://www.google.com/maps/search/hotels+near+Carlton+VIC/@-37.8032476,144.9500519,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,609 Swanston St,,FALSE,"https://www.google.com/maps/place/Essence+Hotel+Carlton/@-37.804126,144.9630119,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642cd6e94135f:0xb96d8f8b5c3ba11c!5m2!4m1!1i2!8m2!3d-37.804126!4d144.9630119?hl=en"
The Best Western Plus Travel Inn Hotel,Hotel,http://www.thetravelinn.com.au/,+61 3 9347 7922,"225 Drummond St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8004361,144.9682137,1,4.1,798,399,160,155,12,60,12,Hotel,,,,,,,,,1.62E+19,FALSE,,,225 Drummond St,FALSE,ChIJ_7gEN9FC1moRMFOPsdtieeE,"5XX9+R7 Carlton, Victoria, Australia",,8/10/2022 2:53,"https://www.google.com/maps/search/hotels+near+Carlton+VIC/@-37.8032476,144.9500519,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,225 Drummond St,,FALSE,"https://www.google.com/maps/place/The+Best+Western+Plus+Travel+Inn+Hotel/@-37.8004361,144.9682137,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642d13704b8ff:0xe17962dbb18f5330!5m2!4m1!1i2!8m2!3d-37.8004361!4d144.9682137?hl=en"
