Name,General Category,Category _1,Detailed_Category,website,Contact Number,address,Suburb,postalCode,location/lat,location/lng,Monday Opening hours,Tuesday Opening hours,Wednesday Opening hours,Thursday Opening hours,Friday Opening hours,Saturday Opening hours,Sunday Opening hours,Google Review Score,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,categories,rank,countryCode,state,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,cid,isAdvertisement,locatedIn,menu,neighborhood,orderBy/0/name,orderBy/0/orderUrl,orderBy/0/url,permanentlyClosed,placeId,plusCode,price,scrapedAt,searchPageUrl,searchString,street,subTitle,temporarilyClosed,url
ArtVo,Tourist attraction,"Art, Museum & Theater",Art gallery,http://www.artvo.com.au/,+61 3 9600 1118,"Shop NCF, 07 Level/1 26 Star Cres, Docklands VIC 3008, Australia",Docklands,3008,-37.8128346,144.9376494,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 6pm,10am - 6pm,4.6,2020,1511,364,35,88,22,,20,AU,Victoria,Art gallery,,,,,,,,1.65E+19,FALSE,Floor 1 · The District Docklands,,"Shop NCF, 07 Level/1 26 Star Cres",,,,FALSE,ChIJE8-wDGhd1moRXhr7SkmHA-U,"5WPQ+V3 Docklands, Victoria, Australia",,2022-10-07T15:39:33.619Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,"Shop NCF, 07 Level/1 26 Star Cres",,FALSE,"https://www.google.com/maps/place/ArtVo/@-37.8128346,144.9376494,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d680cb0cf13:0xe50387494afb1a5e!8m2!3d-37.8128346!4d144.9376494?hl=en"
Australian Centre for Contemporary Art,Tourist attraction,"Art, Museum & Theater",Art gallery,http://www.acca.melbourne/,+61 3 9697 9999,"111 Sturt St, Southbank VIC 3006, Australia",Southbank,3006,-37.8265889,144.9670222,Closed,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,4.2,415,219,114,15,49,18,,43,AU,Victoria,Art center,Modern art museum,Art gallery,,,,,,7.67E+18,FALSE,,,111 Sturt St,,,,FALSE,ChIJCY-uHqxC1moRD3Tq9lMJbWo,"5XF8+9R Southbank, Victoria, Australia",,2022-10-07T15:42:09.072Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,111 Sturt St,,FALSE,"https://www.google.com/maps/place/Australian+Centre+for+Contemporary+Art/@-37.8265889,144.9670222,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642ac1eae8f09:0x6a6d0953f6ea740f!8m2!3d-37.8265889!4d144.9670222?hl=en"
National Gallery of Victoria,Tourist attraction,"Art, Museum & Theater",Art gallery,https://www.ngv.vic.gov.au/,+61 3 8620 2222,"180 St Kilda Rd, Melbourne VIC 3006, Australia",Melbourne,3006,-37.8225942,144.9689278,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,4.7,16417,12728,2911,166,497,115,,4,AU,Victoria,Art gallery,,,,,,,,3.71E+18,FALSE,,,180 St Kilda Rd,,,,FALSE,ChIJuYNitLFC1moRVB5vMAKPcTM,"5XG9+XH Melbourne, Victoria, Australia",$$$$$,2022-10-07T15:47:08.316Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,180 St Kilda Rd,,FALSE,"https://www.google.com/maps/place/National+Gallery+of+Victoria/@-37.8225942,144.9689278,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b1b46283b9:0x33718f02306f1e54!8m2!3d-37.8225942!4d144.9689278?hl=en"
The Ian Potter Centre: NGV Australia,Tourist attraction,"Art, Museum & Theater",Art gallery,http://www.ngv.vic.gov.au/,+61 3 8620 2222,"Federation Square, Flinders St &, Russell St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8170507,144.9697357,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,4.6,1514,1095,324,16,65,14,,17,AU,Victoria,Art gallery,,,,,,,,1.20E+19,FALSE,Floor G · Fed Square,,"Federation Square, Flinders St &, Russell St",,,,FALSE,ChIJ1fB5g7ZC1moR10K4RhIg36U,"5XM9+5V Melbourne, Victoria, Australia",,2022-10-07T15:45:14.318Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,"Federation Square, Flinders St &, Russell St",,FALSE,"https://www.google.com/maps/place/The+Ian+Potter+Centre:+NGV+Australia/@-37.8170507,144.9697357,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b68379f0d5:0xa5df201246b842d7!8m2!3d-37.8170507!4d144.9697357?hl=en"
Hellenic Museum,Tourist attraction,"Art, Museum & Theater",Art museum,http://www.hellenic.org.au/,+61 3 8615 9016,"280 William St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8121451,144.9571255,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,4.6,307,216,66,4,17,4,,24,AU,Victoria,Art gallery,Arts organization,Historical landmark,History museum,Museum,Art museum,,,1.83E+19,FALSE,,,280 William St,,,,FALSE,ChIJxzd-XUpd1moR_b-XJRMznv4,"5XQ4+4V Melbourne, Victoria, Australia",,2022-10-07T15:44:41.077Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,280 William St,,FALSE,"https://www.google.com/maps/place/Hellenic+Museum/@-37.8121451,144.9571255,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d4a5d7e37c7:0xfe9e33132597bffd!8m2!3d-37.812179!4d144.9570002?hl=en"
Immigration Museum,Tourist attraction,"Art, Museum & Theater",History museum,https://museumsvictoria.com.au/immigrationmuseum/,+61 131102,"400 Flinders St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8192442,144.9604547,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,4.4,2184,1290,561,48,224,61,,7,AU,Victoria,History museum,,,,,,,,1.00E+19,FALSE,,,400 Flinders St,,,,FALSE,ChIJ1fB5g7ZC1moRIxI14Xd2bYs,"5XJ6+85 Melbourne, Victoria, Australia",,2022-10-07T15:46:41.627Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,400 Flinders St,,FALSE,"https://www.google.com/maps/place/Immigration+Museum/@-37.8192442,144.9604547,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b68379f0d5:0x8b6d7677e1351223!8m2!3d-37.8192442!4d144.9604547?hl=en"
Melbourne Museum,Tourist attraction,"Art, Museum & Theater",History museum,https://museumsvictoria.com.au/melbournemuseum,+61 131102,"11 Nicholson St, Carlton VIC 3053, Australia",Carlton,3053,-37.803273,144.9717408,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,4.6,11716,8474,2530,120,498,94,,9,AU,Victoria,Museum,Natural history museum,History museum,Wedding venue,,,,,1.03E+19,FALSE,Floor 1 · Carlton Gardens,,11 Nicholson St,,,,FALSE,ChIJn97JQNpC1moRIcJsVMEQLI8,"5XWC+MM Carlton, Victoria, Australia",,2022-10-07T15:46:21.829Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,11 Nicholson St,,FALSE,"https://www.google.com/maps/place/Melbourne+Museum/@-37.803273,144.9717408,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642da40c9de9f:0x8f2c10c1546cc221!8m2!3d-37.803273!4d144.9717408?hl=en"
ACMI,Tourist attraction,"Art, Museum & Theater",Museum,http://www.acmi.net.au/,+61 3 8663 2200,"Federation Square, Flinders St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8175974,144.9686881,12am - 5pm,12am - 5pm,12am - 5pm,12am - 5pm,12am - 5pm,10am - 6pm,10am - 6pm,4.7,3250,2390,688,24,119,29,,34,AU,Victoria,Art gallery,Caterer,Conference center,Cultural center,Event venue,Movie theater,Museum,Wedding venue,1.37E+18,FALSE,Floor G · Fed Square,,"Federation Square, Flinders St",,,,FALSE,ChIJT8T86bZC1moRpBiRUC3lABM,"5XJ9+XF Melbourne, Victoria, Australia",$$,2022-10-07T15:43:23.006Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,"Federation Square, Flinders St",,FALSE,"https://www.google.com/maps/place/ACMI/@-37.8175974,144.9686881,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b6e9fcc44f:0x1300e52d509118a4!8m2!3d-37.8175974!4d144.9686881?hl=en"
Australian Sports Museum,Tourist attraction,"Art, Museum & Theater",Museum,http://www.australiansportsmuseum.org.au/,+61 3 9657 8879,"Gate 3,Melbourne Cricket Ground Yarra Park, Brunton Ave, East Melbourne VIC 3002, Australia",East Melbourne,3002,-37.8199669,144.9834493,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,4.6,460,317,107,7,23,6,,19,AU,Victoria,Museum,,,,,,,,3.15E+18,FALSE,Floor B1 · Melbourne Cricket Ground,,"Gate 3,Melbourne Cricket Ground Yarra Park, Brunton Ave",,,,FALSE,ChIJT7aKr-pC1moRWKo69UcLvSs,"5XJM+29 East Melbourne, Victoria, Australia",,2022-10-07T15:39:35.231Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,"Gate 3,Melbourne Cricket Ground Yarra Park, Brunton Ave",,FALSE,"https://www.google.com/maps/place/Australian+Sports+Museum/@-37.8199669,144.9834493,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642eaaf8ab64f:0x2bbd0b47f53aaa58!8m2!3d-37.8199669!4d144.9834493?hl=en"
Old Melbourne Gaol,Tourist attraction,"Art, Museum & Theater",Museum,http://www.oldmelbournegaol.com.au/,+61 3 9656 9889,"377 Russell St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.807832,144.9653171,Closed,Closed,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,4.5,2400,1514,625,39,190,32,,3,AU,Victoria,Museum,,,,,,,,1.14E+19,FALSE,Floor 0 · RMIT University Melbourne City Campus,,377 Russell St,,,,FALSE,ChIJYUcwasxC1moResepeNQs7Z0,"5XR8+V4 Melbourne, Victoria, Australia",,2022-10-07T15:47:16.730Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,377 Russell St,,FALSE,"https://www.google.com/maps/place/Old+Melbourne+Gaol/@-37.807832,144.9653171,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642cc6a304761:0x9ded2cd478a9c77a!8m2!3d-37.807832!4d144.9653171?hl=en"
