restaurant name,phone,website,address,city,State,countryCode,location/lat,location/lng,Categories summary _1,Categories summary _2,Cusine,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categoryName,cid,isAdvertisement,locatedIn,menu,neighborhood,orderBy/0/name,orderBy/0/orderUrl,orderBy/0/url,orderBy/1/name,orderBy/1/orderUrl,orderBy/1/url,orderBy/2/name,orderBy/2/orderUrl,orderBy/2/url,orderBy/3/name,orderBy/3/orderUrl,orderBy/3/url,orderBy/4/name,orderBy/4/orderUrl,orderBy/4/url,orderBy/5/name,orderBy/5/url,permanentlyClosed,placeId,plusCode,postalCode,price,totalScore,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,url
Bossa Nova Café | Brazilian Restaurant,+61 423 146 157,https://bossanova.com.au/,"156 Elgin St, Carlton VIC 3053, Australia",Carlton,VIC,AU,-37.797158,144.969439,Cafe,Cafe,Cafe,Restaurant,Cafe,,,,,,,,,,Cafe,7.95E+18,FALSE,,,156 Elgin St,Deliveroo,https://deliveroo.com.au/menu/melbourne/carlton/bossa-nova-coffee-and-friends?utm_medium=affiliate&utm_source=google_maps_link,deliveroo.com.au,,,,,,,,,,,,,,,FALSE,ChIJq_UhWMhD1moRKTB12DhkS24,"6X39+4Q Carlton, Victoria, Australia",3053,,4.9,90,309,284,20,2,1,2,7/10/2022 23:27,"https://www.google.com/maps/search/restaurant+near+Carlton+VIC/@-37.8009444,144.9640258,16z/data=!4m2!2m1!6e5?hl=en",,Victoria,156 Elgin St,,FALSE,"https://www.google.com/maps/place/Bossa+Nova+Caf%C3%A9+%7C+Brazilian+Restaurant/@-37.797158,144.969439,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad643c85821f5ab:0x6e4b6438d8753029!8m2!3d-37.797158!4d144.969439?hl=en"
Summer's Garden Bar,+61 406 334 098,/url?q=https://summersgardeninn.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral&sa=U&ved=0ahUKEwjH0r6-lM76AhXyjokEHQzTDFoQ61gIGigQ&usg=AOvVaw2zIgOuu4UWrNgHHd_LT5zq,"494 Victoria St, North Melbourne VIC 3051, Australia",North Melbourne,VIC,AU,-37.8049933,144.949859,Bar,,Bar,Bar,Beer garden,,,,,,,,,,Bar,8.98E+18,FALSE,,,494 Victoria St,,,,,,,,,,,,,,,,,,FALSE,ChIJvz5mn5Vd1moRO1AQVM8Qqnw,"5WWX+2W North Melbourne, Victoria, Australia",3051,,4.9,70,162,151,8,0,3,0,7/10/2022 23:52,"https://www.google.com/maps/search/restaurant+near+North+Melbourne+VIC/@-37.8015566,144.9488339,16z/data=!4m2!2m1!6e5?hl=en",,Victoria,494 Victoria St,,FALSE,"https://www.google.com/maps/place/Summer's+Garden+Bar/@-37.8049933,144.949859,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d959f663ebf:0x7caa10cf5410503b!5m2!4m1!1i2!8m2!3d-37.8049933!4d144.949859?hl=en"
Sushi Bar Kakizaki,+61 3 9827 9029,http://sushibarkakizaki.com/,"479 Malvern Rd, South Yarra VIC 3141, Australia",South Yarra,VIC,AU,-37.8477932,145.0024556,Restaurant,,Japanese,Japanese restaurant,Sushi restaurant,,,,,,,,,,Japanese restaurant,6.23E+18,FALSE,,,479 Malvern Rd,sushibarkakizaki.com,,http://sushibarkakizaki.com/oneline-booking2/,,,,,,,,,,,,,,,FALSE,ChIJuYVLpyto1moRNotep2m8alY,"5222+VX South Yarra, Victoria, Australia",3141,$$$,4.9,83,135,124,8,2,0,1,8/10/2022 1:51,"https://www.google.com/maps/search/restaurant+near+South+Yarra+VIC/@-37.8408638,144.9811033,15z/data=!4m2!2m1!6e5?hl=en",,Victoria,479 Malvern Rd,,FALSE,"https://www.google.com/maps/place/Sushi+Bar+Kakizaki/@-37.8477932,145.0024556,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad6682ba74b85b9:0x566abc69a75e8b36!8m2!3d-37.8478861!4d145.0024359?hl=en"
Wazhir - Indian Restaurant,+61 3 7012 5833,http://www.wazhir.com.au/,"264 Racecourse Rd, Flemington VIC 3031, Australia",Flemington,VIC,AU,-37.7882239,144.9318285,Restaurant,,Indian,Indian restaurant,Halal restaurant,,,,,,,,,,Indian restaurant,4.00E+18,FALSE,,,264 Racecourse Rd,DoorDash,https://www.doordash.com/en-AU/store/wazhir-multi--cuisine-flemington-23063974/?pickup=true&utm_campaign=gpa,doordash.com,Just Eat,https://www.menulog.com.au/restaurants-wazhir/menu?utm_source=google&utm_medium=organic&utm_campaign=orderaction,menulog.com.au,Deliveroo,https://deliveroo.com.au/menu/melbourne/flemington/wazhir?utm_medium=affiliate&utm_source=google_maps_link,deliveroo.com.au,,,,,,,,,FALSE,ChIJ0z_DJcBd1moRAta_mzyQiDc,"6W6J+PP Flemington, Victoria, Australia",3031,,4.9,53,118,113,3,1,1,0,8/10/2022 0:45,"https://www.google.com/maps/search/restaurant+near+Kensington+VIC/@-37.7937242,144.9264494,16z/data=!4m2!2m1!6e5?hl=en",,Victoria,264 Racecourse Rd,,FALSE,"https://www.google.com/maps/place/Wazhir+-+Indian+Restaurant/@-37.7882239,144.9318285,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65dc025c33fd3:0x3788903c9bbfd602!8m2!3d-37.7882239!4d144.9318285?hl=en"
Verve Spice Food Store. Home. Gelati.,+61 3 9827 2050,https://m.facebook.com/VerveSpice/,"330 Toorak Rd, South Yarra VIC 3141, Australia",South Yarra,VIC,AU,-37.8399543,144.9986252,Takeout Restaurant,Cafe,Takeout Restaurant,Takeout Restaurant,Cafe,Ice cream shop,Restaurant,,,,,,,,Takeout Restaurant,4.70E+18,FALSE,,,330 Toorak Rd,,,,,,,,,,,,,,,,,,FALSE,ChIJrUufwYNC1moRVKyp6OMEMUE,"5X6X+2F South Yarra, Victoria, Australia",3141,,4.9,90,114,104,7,1,2,0,8/10/2022 1:51,"https://www.google.com/maps/search/restaurant+near+South+Yarra+VIC/@-37.8408638,144.9811033,15z/data=!4m2!2m1!6e5?hl=en",,Victoria,330 Toorak Rd,,FALSE,"https://www.google.com/maps/place/Verve+Spice+Food+Store.+Home.+Gelati./@-37.8399543,144.9986252,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad64283c19f4bad:0x413104e3e8a9ac54!8m2!3d-37.8399543!4d144.9986252?hl=en"
Panda Hot Pot Carlton,+61 3 9888 9899,https://www.pandahotpot.com.au/,"100 Victoria St, Carlton VIC 3053, Australia",Carlton,VIC,AU,-37.8065155,144.9641967,Restaurant,,Chinese,Hot pot restaurant,Chinese noodle restaurant,Chinese restaurant,Chinese takeaway,Delivery Chinese restaurant,,,,,,,Hot pot restaurant,1.69E+19,FALSE,,,100 Victoria St,tablecheck.com,https://www.tablecheck.com/shops/panda-hot-pot/reserve,tablecheck.com,,,,,,,,,,,,,,,FALSE,ChIJg6zEey1D1moRdQWYmKFtDeo,"5XV7+9M Carlton, Victoria, Australia",3053,$$,4.8,65,4773,4202,324,120,83,44,7/10/2022 23:45,"https://www.google.com/maps/search/restaurant+near+Carlton+VIC/@-37.8009444,144.9640258,16z/data=!4m2!2m1!6e5?hl=en",,Victoria,100 Victoria St,,FALSE,"https://www.google.com/maps/place/Panda+Hot+Pot+Carlton+%E8%9C%80%E5%A4%A7%E4%BE%A0%E7%81%AB%E9%94%85/@-37.8065155,144.9641967,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad6432d7bc4ac83:0xea0d6da198980575!8m2!3d-37.8065155!4d144.9641967?hl=en"
"3 Brothersss Indian Restaurant (Elizabeth Street, QVM)",+61 3 9328 7951,https://www.mryum.com/3brothers-e,"513 Elizabeth St Queen Victoria Market, Melbourne VIC 3000, Australia",Melbourne,VIC,AU,-37.806948,144.9596097,Restaurant,,Indian,Indian restaurant,,,,,,,,,,,Indian restaurant,3.73E+18,FALSE,Queen Victoria Market,,513 Elizabeth St Queen Victoria Market,mryum.com,,https://www.mryum.com/3brothers-e,deliveroo.com.au,,https://deliveroo.com.au/menu/melbourne/melbourne-cbd/3-brothersss-indian-restaurant-melbourne?utm_medium=affiliate&utm_source=google_maps_link,menulog.com.au,,https://www.menulog.com.au/restaurants-3-brothersss-indian-restaurant/menu?utm_source=google&utm_medium=organic&utm_campaign=orderaction,doordash.com,,https://www.doordash.com/en-AU/store/3-brothersss-indian-restaurant-melbourne-1307827/?utm_campaign=gpa,,,,,,FALSE,ChIJhwU4_dFd1moRqkSHXQEH0DM,"5XV5+6R Melbourne, Victoria, Australia",3000,,4.8,60,911,841,31,26,8,5,8/10/2022 1:46,"https://www.google.com/maps/search/restaurant+near+Parkville+VIC/@-37.8061955,144.9423826,14z/data=!4m2!2m1!6e5?hl=en",,VIC,513 Elizabeth St Queen Victoria Market,,FALSE,"https://www.google.com/maps/place/3+Brothersss+Indian+Restaurant+(Elizabeth+Street,+QVM)/@-37.806948,144.9596097,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65dd1fd380587:0x33d007015d8744aa!8m2!3d-37.806948!4d144.9596097?hl=en"
Scopri Italian Food and Wine,+61 3 9347 8252,http://scopri.com.au/,"191 Nicholson St, Carlton VIC 3053, Australia",Carlton,VIC,AU,-37.7956744,144.9749259,Restaurant,,Italian,Italian restaurant,,,,,,,,,,,Italian restaurant,1.00E+19,FALSE,,,191 Nicholson St,scopri.com.au,,https://www.scopri.com.au/reserve-1,,,,,,,,,,,,,,,FALSE,ChIJJZA5ACdD1moRxIAdHMr3F4s,"6X3F+PX Carlton, Victoria, Australia",3053,$$$,4.8,14,688,605,57,12,8,6,8/10/2022 0:25,"https://www.google.com/maps/search/restaurant+near+Carlton+VIC/@-37.8009444,144.9640258,16z/data=!3m1!4b1?hl=en",,Victoria,191 Nicholson St,,FALSE,"https://www.google.com/maps/place/Scopri+Italian+Food+and+Wine/@-37.7956744,144.9749259,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad6432700399025:0x8b17f7ca1c1d80c4!8m2!3d-37.7956767!4d144.9749552?hl=en"
The Abyssinian Restaurant,+61 3 9376 8754,http://www.theabyssinian.com.au/,"277 Racecourse Rd, Kensington VIC 3031, Australia",Kensington,VIC,AU,-37.7885828,144.9318569,Restaurant,,Ethiopian,Ethiopian restaurant,East African restaurant,Eritrean restaurant,,,,,,,,,Ethiopian restaurant,1.05E+19,FALSE,,,277 Racecourse Rd,DoorDash,https://www.doordash.com/en-AU/store/abyssinian-the-kensington-1753971/?pickup=true&utm_campaign=gpa,doordash.com,Just Eat,https://www.menulog.com.au/restaurants-the-abyssinian-restaurant/menu?utm_source=google&utm_medium=organic&utm_campaign=orderaction,menulog.com.au,Deliveroo,https://deliveroo.com.au/menu/melbourne/flemington/the-abyssinian?utm_medium=affiliate&utm_source=google_maps_link,deliveroo.com.au,,,,,,,,,FALSE,ChIJ2fMHkRtd1moRLOqhpl3iIJE,"6W6J+HP Kensington, Victoria, Australia",3031,$$,4.8,1,609,499,91,3,14,2,8/10/2022 0:54,"https://www.google.com/maps/search/restaurant+near+Kensington+VIC/@-37.7937242,144.9264494,16z?hl=en",,Victoria,277 Racecourse Rd,,FALSE,"https://www.google.com/maps/place/The+Abyssinian+Restaurant/@-37.7885828,144.9318569,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d1b9107f3d9:0x9120e25da6a1ea2c!8m2!3d-37.7885828!4d144.9318569?hl=en"
The Galbi BBQ,+61 452 479 101,https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Finline.app%2Fbooking%2Fthegalbibbq%2F-MzSpjFLfF7kbkKJcSy5&data=04%7C01%7C%7Ce78e034e398b459616a808da15fb102f%7C84df9e7fe9f640afb435aaaaaaaaaaaa%7C1%7C0%7C637846465297968939%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&sdata=sDW75sz5jd7OCADL3JUsxHEWFgHEbzjG7ewolPZdzI4%3D&reserved=0,"270-274 Victoria St, North Melbourne VIC 3051, Australia",North Melbourne,VIC,AU,-37.8057857,144.9573701,Restaurant,,Korean,Korean barbecue restaurant,Restaurant,,,,,,,,,,Korean barbecue restaurant,4.81E+18,FALSE,,,270-274 Victoria St,,,,,,,,,,,,,,,,,,FALSE,ChIJeTdSUphd1moR55WLsMElvUI,"5XV4+MW North Melbourne, Victoria, Australia",3051,,4.8,53,480,435,29,6,4,6,8/10/2022 0:05,"https://www.google.com/maps/search/restaurant+near+North+Melbourne+VIC/@-37.8015566,144.9488339,16z/data=!4m2!2m1!6e5?hl=en",,Victoria,270-274 Victoria St,,FALSE,"https://www.google.com/maps/place/The+Galbi+BBQ/@-37.8057857,144.9573701,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d9852523779:0x42bd25c1b08b95e7!8m2!3d-37.8057857!4d144.9573701?hl=en"
