Name,categoryName,website,phone,address,city,categories/0,totalScore,Monday Opening hours,Tuesday Opening hours,Wednesday Opening hours,Thursday Opening hours,Friday Opening hours,Saturday Opening hours,Sunday Opening hours,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,cid,countryCode,isAdvertisement,locatedIn,location/lat,location/lng,menu,neighborhood,orderBy/0/name,orderBy/0/url,permanentlyClosed,placeId,plusCode,postalCode,price,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,totalScore,url
The Block Arcade,Shopping mall,http://www.theblock.com.au/,+61 3 9654 5244,"282 Collins St, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.5,8am - 6pm,8am - 6pm,8am - 6pm,8am - 6pm,8am - 8pm,8am - 5pm,8am - 5pm,,,,,,,,,,1.30E+19,AU,FALSE,,-37.815795,144.9646665,,282 Collins St,,,FALSE,ChIJZ13A-LRC1moRuvzp83qUTbQ,"5XM7+MV Melbourne, Victoria, Australia",3000,$$$$$,30,2598,1546,802,16,214,20,2022-10-08T14:00:55.586Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z/data=!4m2!2m1!6e6?hl=en",,Victoria,282 Collins St,,FALSE,4.5,"https://www.google.com/maps/place/The+Block+Arcade/@-37.815795,144.9646665,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b4f8c05d67:0xb44d947af3e9fcba!8m2!3d-37.815795!4d144.9646665?hl=en"
Melbourne Central,Shopping mall,http://www.melbournecentral.com.au/,+61 3 9922 1122,"Cnr LaTrobe and Swanston Streets, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.4,10am - 7pm,10am - 7pm,10am - 7pm,10am - 7pm,10am - 7pm,10am - 9pm,10am - 9pm,,,,,,,,,,6.43E+18,AU,FALSE,,-37.8102361,144.9627652,,Cnr LaTrobe and Swanston Streets,,,FALSE,ChIJybEw5cpC1moRFtDOajNMRFk,"5XQ7+W4 Melbourne, Victoria, Australia",3000,$$$,2,19795,11066,6327,303,1820,279,2022-10-08T14:00:16.951Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z?hl=en",,VIC,Cnr LaTrobe and Swanston Streets,,FALSE,4.4,"https://www.google.com/maps/place/Melbourne+Central/@-37.8102361,144.9627652,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642cae530b1c9:0x59444c336aced016!8m2!3d-37.8102361!4d144.9627652?hl=en"
Royal Arcade,Shopping mall,http://www.royalarcade.com.au/,+61 438 891 212,"335 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.4,7am - 7pm,7am - 7pm,7am - 7pm,7am - 7pm,7am - 9pm,8am - 7pm,9am - 7pm,,,,,,,,,,1.06E+19,AU,FALSE,,-37.8145388,144.9640625,,335 Bourke St,,,FALSE,ChIJeaaLoLVC1moRb4lG29-HxpI,"5XP7+5J Melbourne, Victoria, Australia",3000,$$$,22,3800,2030,1263,22,443,42,2022-10-08T14:03:59.154Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z/data=!4m2!2m1!6e6?hl=en",,Victoria,335 Bourke St,,FALSE,4.4,"https://www.google.com/maps/place/Royal+Arcade/@-37.8145388,144.9640625,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b5a08ba679:0x92c687dfdb46896f!8m2!3d-37.8145388!4d144.9640625?hl=en"
Emporium Melbourne,Shopping mall,http://emporiummelbourne.com.au/,+61 3 8609 8221,"287 Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.4,10am - 7pm,10am - 7pm,10am - 7pm,10am - 7pm,10am - 9pm,10am - 10pm,10am - 7pm,Fashion designer,Fast food restaurant,Food court,Restaurant,,,,,,2.55E+18,AU,FALSE,,-37.8124234,144.9638295,,287 Lonsdale St,,,FALSE,ChIJe2e9iMpC1moROAFy3XgYaSM,"5XQ7+2G Melbourne, Victoria, Australia",3000,$$$$$$,4,14215,7706,4811,166,1347,185,2022-10-08T14:04:18.689Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z?hl=en",,Victoria,287 Lonsdale St,,FALSE,4.4,"https://www.google.com/maps/place/Emporium+Melbourne/@-37.8124234,144.9638295,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642ca88bd677b:0x23691878dd720138!8m2!3d-37.8124234!4d144.9638295?hl=en"
Bourke Street Mall,Shopping mall,https://www.visitvictoria.com/regions/melbourne/destinations/bourke-street-mall,,"Bourke St, Melbourne VIC 3000, Australia",Melbourne,Outlet mall,4.3,10am - 7pm,10am - 7pm,10am - 7pm,10am - 9pm,10am - 9pm,9:30am - 7pm,10am - 7pm,,,,,,,,,,1.89E+18,AU,FALSE,Floor G · David Jones - Bourke Street Mall,-37.8137685,144.9644379,,Bourke St,,,FALSE,ChIJ54vBhLVC1moRmVsGnRiuOxo,"5XP7+FQ Melbourne, Victoria, Australia",,$$$$,1,5042,2641,1667,68,585,81,2022-10-08T14:00:16.586Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z?hl=en",,Victoria,Bourke St,,FALSE,4.3,"https://www.google.com/maps/place/Bourke+Street+Mall/@-37.8137685,144.9644379,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b584c18be7:0x1a3bae189d065b99!8m2!3d-37.8137685!4d144.9644379?hl=en"
Melbourne's GPO,Shopping mall,http://www.melbournesgpo.com/,+61 3 9290 0200,"350 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.3,10am - 7pm,10am - 7pm,10am - 7pm,10am - 7pm,10am - 7pm,10am - 9pm,10am - 9pm,,,,,,,,,,1.65E+19,AU,FALSE,,-37.8135391,144.9632758,,350 Bourke St,,,FALSE,ChIJlVWPC7VC1moRwANVqtx_3eQ,"5XP7+H8 Melbourne, Victoria, Australia",3000,$$$$$,18,2316,1112,815,32,313,44,2022-10-08T14:00:26.174Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z?hl=en",,Victoria,350 Bourke St,,FALSE,4.3,"https://www.google.com/maps/place/Melbourne's+GPO/@-37.8135391,144.9632758,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b50b8f5595:0xe4dd7fdcaa5503c0!8m2!3d-37.8135391!4d144.9632758?hl=en"
QV Melbourne,Shopping mall,http://www.qv.com.au/,+61 3 9207 9200,"Cnr Lonsdale Street and, Swanston St, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.3,10am - 7pm,10am - 7pm,10am - 7pm,10am - 7pm,10am - 9pm,10am - 6pm,10am - 5pm,,,,,,,,,,9.71E+17,AU,FALSE,,-37.810632,144.9656403,,"Cnr Lonsdale Street and, Swanston St",,,FALSE,ChIJJzQtz8tC1moR72Ai_C59eg0,"5XQ8+P7 Melbourne, Victoria, Australia",3000,$$$$$$,10,9660,4735,3475,129,1170,151,2022-10-08T14:04:08.500Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z?hl=en",,VIC,"Cnr Lonsdale Street and, Swanston St",,FALSE,4.3,"https://www.google.com/maps/place/QV+Melbourne/@-37.810632,144.9656403,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642cbcf2d3427:0xd7a7d2efc2260ef!8m2!3d-37.810632!4d144.9656403?hl=en"
Midtown Melbourne,Shopping mall,,+61 3 9290 0200,"246 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.2,7am - 9pm,7am - 9pm,7am - 9pm,7am - 9pm,7am - 9pm,8am - 9pm,9am - 7pm,,,,,,,,,,9.70E+18,AU,FALSE,,-37.8130765,144.9658905,,246 Bourke St,,,FALSE,ChIJ1xdPD8pC1moRK16t7ojQk4Y,"5XP8+Q9 Melbourne, Victoria, Australia",3000,,16,525,227,190,10,84,14,2022-10-08T14:00:32.852Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z?hl=en",,Victoria,246 Bourke St,,FALSE,4.2,"https://www.google.com/maps/place/Midtown+Melbourne/@-37.8130765,144.9658905,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642ca0f4f17d7:0x8693d088eead5e2b!8m2!3d-37.8130765!4d144.9658905?hl=en"
Collins234,Shopping mall,http://collins234.com.au/,+61 3 8539 3001,"234 Collins St, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.2,10am - 6pm,10am - 6pm,10am - 6pm,10am - 7pm,10am - 9pm,10am - 5pm,12pm - 5pm,,,,,,,,,,1.45E+19,AU,FALSE,,-37.8154695,144.9659663,,234 Collins St,,,FALSE,ChIJswyfzrVC1moRjvkdZyLny8k,"5XM8+R9 Melbourne, Victoria, Australia",3000,,37,245,112,86,3,40,4,2022-10-08T14:00:43.684Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z/data=!4m2!2m1!6e6?hl=en",,Victoria,234 Collins St,,FALSE,4.2,"https://www.google.com/maps/place/Collins234/@-37.8154695,144.9659663,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b5ce9f0cb3:0xc9cbe722671df98e!8m2!3d-37.8154695!4d144.9659663?hl=en"
Collins Place,Shopping mall,https://www.collinsplace.com.au/,+61 3 9655 3600,"45 Collins St, Melbourne VIC 3000, Australia",Melbourne,Shopping mall,4.2,9am - 7pm,9am - 7pm,9am - 7pm,8am - 9pm,8am - 9pm,10am - 7pm,10am - 7pm,,,,,,,,,,8.26E+18,AU,FALSE,,-37.8144674,144.9733256,,45 Collins St,,,FALSE,ChIJAVfi1sdC1moRAnN2DgG2qXI,"5XPF+68 Melbourne, Victoria, Australia",3000,$$,24,3013,1278,1110,44,521,60,2022-10-08T14:03:56.486Z,"https://www.google.com/maps/search/shopping+mall+near+Melbourne+VIC/@-37.8231555,144.9459229,12z/data=!4m2!2m1!6e6?hl=en",,Victoria,45 Collins St,,FALSE,4.2,"https://www.google.com/maps/place/Collins+Place/@-37.8144674,144.9733256,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c7d6e25701:0x72a9b6010e767302!8m2!3d-37.8144674!4d144.9733256?hl=en"
